INV 130 64
NAND 111 130 65
NAND 79 64 1
NAND 65 1 144
NAND 130 112 2
NAND 64 80 3
NAND 2 3 145
NAND 130 113 4
NAND 64 81 5
NAND 4 5 146
NAND 130 114 6
NAND 64 82 7
NAND 6 7 147
NAND 130 115 8
NAND 64 83 9
NAND 8 9 148
NAND 130 116 10
NAND 64 84 11
NAND 10 11 149
NAND 130 117 12
NAND 64 85 13
NAND 12 13 150
NAND 130 118 14
NAND 64 86 15
NAND 14 15 151
NAND 130 119 16
NAND 64 87 17
NAND 16 17 152
NAND 130 121 18
NAND 64 89 19
NAND 18 19 154
NAND 130 122 20
NAND 64 90 21
NAND 20 21 155
NAND 130 98 22
NAND 64 66 23
NAND 22 23 131
NAND 130 109 24
NAND 64 77 25
NAND 24 25 142
NAND 130 120 26
NAND 64 88 27
NAND 26 27 153
NAND 130 123 28
NAND 64 91 29
NAND 28 29 156
NAND 130 124 30
NAND 64 92 31
NAND 30 31 157
NAND 130 125 32
NAND 64 93 33
NAND 32 33 158
NAND 130 126 34
NAND 64 94 35
NAND 34 35 159
NAND 130 127 36
NAND 64 95 37
NAND 36 37 160
NAND 130 128 38
NAND 64 96 39
NAND 38 39 161
NAND 130 129 40
NAND 64 97 41
NAND 40 41 162
NAND 130 99 42
NAND 64 67 43
NAND 42 43 132
NAND 130 100 44
NAND 64 68 45
NAND 44 45 133
NAND 130 101 46
NAND 64 69 47
NAND 46 47 134
NAND 130 102 48
NAND 64 70 49
NAND 48 49 135
NAND 130 103 50
NAND 64 71 51
NAND 50 51 136
NAND 130 104 52
NAND 64 72 53
NAND 52 53 137
NAND 130 105 54
NAND 64 73 55
NAND 54 55 138
NAND 130 106 56
NAND 64 74 57
NAND 56 57 139
NAND 130 107 58
NAND 64 75 59
NAND 58 59 140
NAND 130 108 60
NAND 64 76 61
NAND 60 61 141
NAND 130 110 62
NAND 64 78 63
NAND 62 63 143
INPUT  66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 -1
OUTPUT  131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 -1
